id,name,type,address,year,spot1_title,spot1_detail,spot2_title,spot2_detail,spot3_title,spot3_detail,sites,summary,latitude,longitude,image_url,badge_image_url
1,法隆寺地域の仏教建造物,文化,奈良県,1993,五重塔（ごじゅうのとう）の木組み構造,釘を使わずに木を組み合わせた、高度な大工技術を見ることができます。,金堂（こんどう）の仏像配置,仏像の並び方から、当時の仏教の考え方が伝わってきます。,回廊（かいろう）の柱と屋根,長い年月を経ても残る造りから、建物の丈夫さがわかります。,"法隆寺, 法起寺",法隆寺は、日本に仏教が広まった初期の姿を今に伝える寺院です。現存する木造建築としては世界でもとても古く、当時の建築技術や仏教文化を知る貴重な資料として評価され、世界遺産に登録されました。,34.6141,135.7356,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F1.Horyuji.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_1.jpg?alt=media
2,姫路城,文化,兵庫県,1993,天守（てんしゅ）の白漆喰（しろしっくい）構造,白く美しい外観は、火に強く城を守るための工夫でもあります。,複雑に入り組んだ動線,敵が迷うように道が工夫されており、城の防御の知恵がわかります。,時代ごとに積まれた石垣,場所によって石の積み方が違い、城が長い時間使われてきたことが読み取れます。,姫路城,姫路城は、戦の時代を生き抜くための工夫と、平和な時代に大切にされた美しさの両方が残る、日本を代表する城です。昔の人の知恵と技術が今も形として残っていることが評価され、世界遺産に登録されました。,34.8394,134.6939,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F2.Himejijo.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_2.jpg?alt=media
3,屋久島,自然,鹿児島県,1993,屋久杉（やくすぎ）,何千年も生きてきた大きな杉の木から、自然の力強さを感じられます。,苔（こけ）むした森,湿度の高い環境で育った苔が広がり、幻想的な景色が見られます。,海から山までの自然,短い距離で多様な自然が見られ、屋久島ならではの環境を体感できます。,"屋久島（島の中央部, 西部海岸）",屋久島は、長い時間をかけて育った森と、特別な自然環境が残る島です。独自の生態系と、人の手があまり入っていない自然の姿が世界的に貴重とされ、世界遺産に登録されました。,30.3601,130.5111,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F3.Yakushima.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_3.jpg?alt=media
4,白神山地,自然,青森県,1993,ブナの原生林,長い年月、人の手が加わらずに育った広大な森を体感できます。,多様な動植物,クマやカモシカなど、森に生きる多くの生き物が共存しています。,自然そのままの川や沢,人工物がほとんどない、透明度の高い水の流れが見られます。,白神山地（中心部）,白神山地（しらかみさんち）は、人の手がほとんど入っていない広大なブナの原生林が残る山地です。自然のままの森の姿が守られており、生き物たちが長い時間をかけて作ってきた生態系が高く評価され、世界遺産に登録されました。,40.48,140.12,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F4.Shirakamisanti.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_4.jpg?alt=media
5,古都京都の文化財（京都市、宇治市、大津市）,文化,京都府,1994,金閣寺・銀閣寺,時代ごとの美しさや考え方の違いが建物に表れています。,日本庭園,自然を小さな空間に表現する、日本独自の庭づくりが見られます。,寺院と町のつながり,建物だけでなく、町全体に歴史が息づいています。,"賀茂別雷神社（上賀茂神社）, 賀茂御祖神社（下鴨神社）, 教王護国寺（東寺）, 清水寺, 延暦寺, 醍醐寺, 仁和寺, 平等院, 宇治上神社, 高山寺, 西芳寺（苔寺）, 天龍寺, 鹿苑寺（金閣寺）, 慈照寺（銀閣寺）, 龍安寺, 本願寺（西本願寺）, 二条城",古都京都の文化財は、長い間日本の都として栄えた京都に残る寺社や庭園などをまとめた世界遺産です。日本の宗教、文化、美意識が集まった場所として、世界的に価値があると認められました。,35.0394,135.7292,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F5.Kyoto.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_5.jpg?alt=media
6,白川郷・五箇山の合掌造り集落,文化,岐阜県,1995,合掌造り（がっしょうづくり）の家,雪が落ちやすい、三角形の大きな屋根が特徴です。,集落全体の景観,家々が集まって、昔の暮らしの姿をそのまま残しています。,人と自然の共存,自然の厳しさに合わせた生活の工夫が見られます。,"荻町集落, 相倉集落, 菅沼集落",白川郷・五箇山（しらかわごう・ごかやま）は、厳しい雪の多い環境の中で生まれた独特な家屋と暮らしが残る集落です。自然と共に生きる人々の知恵が今も受け継がれている点が評価され、世界遺産に登録されました。,36.2564,136.906,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F6.Shirakawago.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_6.jpg?alt=media
7,原爆ドーム,文化,広島県,1996,爆心地近くで残った建物,大きな被害を受けながらも、形をとどめています。,壊れたまま保存された姿,当時の被害の大きさを実感できます。,平和へのメッセージ,二度と同じ悲劇を繰り返さないための記念碑です。,原爆ドーム,原爆ドームは、1945年に投下された原子爆弾の被害を今に伝える建物です。戦争の悲惨さと、平和の大切さを世界に伝える象徴として、世界遺産に登録されました。,34.3947,132.4547,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F7.Genbakudome.JPG?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_7.jpg?alt=media&token
8,厳島神社,文化,広島県,1996,海に浮かぶ社殿（しゃでん）,潮の満ち引きによって、見え方が変わります。,大鳥居（おおとりい）,遠くからでも目立つ、厳島神社の象徴です。,自然を神聖視（しんせいし）する考え方,島全体を神の場所として大切にしています。,厳島神社,厳島神社（いつくしまじんじゃ）は、海の上に建てられた珍しい神社で、自然と建築が一体となった景観が特徴です。日本の自然観や信仰の形をよく表しているとして、世界遺産に登録されました。,34.296,132.3199,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F8.Itsukushimashrine.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_8.jpg?alt=media&token
9,古都奈良の文化財,文化,奈良県,1998,東大寺（とうだいじ）の大仏,当時の国の力を示す、巨大な仏像です。,法隆寺（ほうりゅうじ）の建築,現存する世界最古級の木造建築が残っています。,奈良の町並み,自然と歴史が調和した景観が広がります。,"東大寺, 興福寺, 春日大社, 春日山原始林, 元興寺, 薬師寺, 唐招提寺, 平城宮跡",古都奈良の文化財は、日本で最初の本格的な都に建てられた寺院や建物を中心とした世界遺産です。日本の政治や仏教文化の始まりを今に伝える点が評価されています。,34.689,135.8328,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F9.Nara.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_9.jpg?alt=media&token
10,日光の社寺,文化,栃木県,1999,日光東照宮（にっこうとうしょうぐう）の彫刻,動物や人物を細かく表現した装飾が特徴です。,自然と一体になった配置,山や森と調和するように建てられています。,色鮮やかな建築,他の神社とは違う、豪華なデザインが目を引きます。,"二荒山神社, 東照宮, 輪王寺",日光の社寺（しゃじ）は、自然豊かな山の中に建てられた華やかな神社と寺院の集まりです。高い技術と装飾美、そして信仰の場所としての価値が認められ、世界遺産に登録されました。,36.7581,139.5989,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/world_heritage%2F10.Nikko.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/final-project-f4891.firebasestorage.app/o/badge%2Fbadge_10.jpg?alt=media&token
